Ticket ID,Sucursal,Ciudad,Tipo de Cliente,Género,Línea de Producto,Precio Unitario (€),Cantidad,IVA (€),Total (€),Fecha,Hora,Método de Pago,Coste sin IVA (€),Margen Bruto (%),Beneficio (€),Valoración,Ingreso Neto (€)
TCKT-1000,Sucursal C,Valencia,Miembro,Hombre,Limpieza,28.23,4,7.9,120.82,2025-05-29,12:07:12,Efectivo,105.535032,0.0699764605178686,7.384968000000001,8.4,112.92
TCKT-1001,Sucursal C,Valencia,Miembro,Mujer,Lácteos,3.95,4,1.11,16.91,2025-05-17,03:00:26,Efectivo,14.763520000000002,0.0702054794520547,1.0364799999999992,7.0,15.8
TCKT-1002,Sucursal A,Madrid,Miembro,Mujer,Carnes,45.47,5,15.91,243.26,2025-06-14,22:17:48,Efectivo,212.48131,0.0699764605178686,14.868690000000017,8.6,227.35
TCKT-1003,Sucursal A,Madrid,Normal,Mujer,Frutas y Verduras,16.39,6,6.88,105.22,2025-07-14,00:45:09,Efectivo,91.908564,0.0699764605178686,6.431436000000005,4.6,98.34
TCKT-1004,Sucursal A,Madrid,Normal,Mujer,Bebidas,27.19,1,1.9,29.09,2025-06-13,08:46:23,Bizum,25.414493,0.0698619878035733,1.775507000000001,6.8,27.19
TCKT-1005,Sucursal A,Madrid,Normal,Hombre,Bebidas,30.02,10,21.01,321.21,2025-06-28,13:12:45,Tarjeta de Crédito,280.56692,0.0699764605178686,19.633080000000007,7.5,300.2
TCKT-1006,Sucursal C,Valencia,Miembro,Hombre,Limpieza,23.56,5,8.25,126.05,2025-06-14,19:47:21,Efectivo,110.0841,0.0700909577314072,7.715900000000005,9.1,117.8
TCKT-1007,Sucursal A,Madrid,Normal,Mujer,Panadería,63.93,6,26.85,410.43,2025-06-02,15:01:14,Efectivo,358.493868,0.0699764605178686,25.08613200000002,6.2,383.58
TCKT-1008,Sucursal A,Madrid,Normal,Hombre,Bebidas,63.86,9,40.23,614.97,2025-06-25,06:07:31,Bizum,537.152004,0.0699764605178685,37.587995999999976,5.5,574.74
TCKT-1009,Sucursal B,Barcelona,Normal,Mujer,Limpieza,69.13,4,19.36,295.88,2025-05-30,15:05:15,Bizum,258.435592,0.0699764605178686,18.084408,5.9,276.52
TCKT-1010,Sucursal A,Madrid,Miembro,Hombre,Frutas y Verduras,40.72,2,5.7,87.14,2025-06-12,14:03:27,Efectivo,76.113824,0.0699764605178686,5.326176000000004,9.5,81.44
TCKT-1011,Sucursal C,Valencia,Normal,Hombre,Limpieza,50.42,8,28.24,431.6,2025-06-09,02:34:08,Efectivo,376.980256,0.0699764605178686,26.379744000000017,5.6,403.36
TCKT-1012,Sucursal A,Madrid,Normal,Mujer,Bebidas,40.54,4,11.35,173.51,2025-05-20,13:54:54,Efectivo,151.554736,0.0699764605178686,10.605264000000004,7.1,162.16
TCKT-1013,Sucursal A,Madrid,Miembro,Hombre,Carnes,63.12,7,30.93,472.77,2025-07-04,18:18:21,Bizum,412.943664,0.0699764605178686,28.89633600000002,4.4,441.84
TCKT-1014,Sucursal B,Barcelona,Normal,Mujer,Bebidas,86.22,1,6.04,92.26,2025-07-08,21:52:40,Bizum,80.57259,0.070090957731407,5.647409999999994,8.3,86.22
TCKT-1015,Sucursal C,Valencia,Normal,Mujer,Lácteos,30.06,3,6.31,96.49,2025-06-06,08:23:21,Tarjeta de Crédito,84.28222799999999,0.0699764605178686,5.897772000000003,4.0,90.18
TCKT-1016,Sucursal C,Valencia,Normal,Hombre,Bebidas,91.35,5,31.97,488.72,2025-07-17,19:53:48,Bizum,426.87855,0.0699764605178685,29.87144999999998,7.0,456.75
TCKT-1017,Sucursal A,Madrid,Miembro,Mujer,Carnes,54.4,9,34.27,523.87,2025-05-11,09:29:31,Efectivo,457.58016,0.0699764605178685,32.01983999999999,7.6,489.6
TCKT-1018,Sucursal B,Barcelona,Miembro,Hombre,Frutas y Verduras,87.99,5,30.8,470.75,2025-07-27,20:26:29,Efectivo,411.17727,0.0699764605178686,28.772730000000024,4.3,439.95
TCKT-1019,Sucursal C,Valencia,Miembro,Hombre,Limpieza,49.11,2,6.88,105.1,2025-07-26,07:54:52,Bizum,91.78659,0.0700909577314071,6.433409999999995,8.6,98.22
TCKT-1020,Sucursal A,Madrid,Normal,Hombre,Frutas y Verduras,53.24,10,37.27,569.67,2025-06-14,11:42:34,Tarjeta de Crédito,497.58104,0.0699764605178686,34.818960000000004,9.8,532.4
TCKT-1021,Sucursal C,Valencia,Miembro,Mujer,Panadería,99.52,6,41.8,638.92,2025-05-29,05:09:59,Tarjeta de Crédito,558.068352,0.0699764605178686,39.051648,9.4,597.12
TCKT-1022,Sucursal B,Barcelona,Miembro,Hombre,Carnes,7.34,1,0.51,7.85,2025-05-21,08:52:22,Bizum,6.862900000000001,0.0695187165775399,0.4770999999999992,7.3,7.34
TCKT-1023,Sucursal C,Valencia,Miembro,Hombre,Lácteos,71.08,1,4.98,76.06,2025-06-03,06:55:13,Efectivo,66.42426,0.070090957731407,4.655739999999994,4.4,71.08
TCKT-1024,Sucursal A,Madrid,Normal,Hombre,Bebidas,24.56,8,13.75,210.23,2025-07-01,15:49:56,Efectivo,183.630208,0.0699764605178686,12.849792000000008,7.2,196.48
TCKT-1025,Sucursal C,Valencia,Normal,Hombre,Panadería,80.94,4,22.66,346.42,2025-06-08,14:01:25,Efectivo,302.586096,0.0699764605178686,21.173904,4.6,323.76
TCKT-1026,Sucursal B,Barcelona,Normal,Mujer,Panadería,47.24,1,3.31,50.55,2025-05-02,07:54:19,Bizum,44.14578,0.0700909577314071,3.09422,7.9,47.24
TCKT-1027,Sucursal C,Valencia,Miembro,Hombre,Panadería,73.09,2,10.23,156.41,2025-05-28,00:05:36,Efectivo,136.619828,0.0699764605178685,9.560171999999994,5.1,146.18
TCKT-1028,Sucursal C,Valencia,Normal,Hombre,Panadería,19.17,8,10.74,164.1,2025-07-09,09:33:56,Efectivo,143.330256,0.0699764605178685,10.029743999999994,9.2,153.36
TCKT-1029,Sucursal A,Madrid,Normal,Hombre,Lácteos,65.56,9,41.3,631.34,2025-06-25,07:29:31,Efectivo,551.4513840000001,0.0699764605178686,38.588616,9.8,590.0400000000001
TCKT-1030,Sucursal A,Madrid,Miembro,Mujer,Panadería,48.65,7,23.84,364.39,2025-06-04,06:01:38,Efectivo,318.27803,0.0699764605178686,22.27197000000001,5.0,340.55
TCKT-1031,Sucursal A,Madrid,Normal,Mujer,Panadería,29.24,9,18.42,281.58,2025-07-25,01:06:50,Bizum,245.949336,0.0699764605178686,17.21066400000001,8.3,263.16
TCKT-1032,Sucursal A,Madrid,Miembro,Mujer,Carnes,96.9,10,67.83,1036.83,2025-06-26,14:31:46,Bizum,905.6274,0.0699764605178686,63.372600000000034,7.3,969.0
TCKT-1033,Sucursal C,Valencia,Normal,Hombre,Lácteos,58.83,9,37.06,566.53,2025-07-20,08:01:32,Bizum,494.842662,0.0699764605178686,34.62733800000001,4.9,529.47
